manuscript_id,decade,evaluable,split,cv_fold
990000445600205171,1250,True,train,2
990000447350205171,1400,True,train,4
990000463170205171,1450,True,train,2
990000463230205171,1500,True,test,-1
990000532150205171,1350,True,train,1
990000532270205171,1450,True,train,0
990000532390205171,1350,True,test,-1
990000532400205171,1450,True,train,0
990000532450205171,1450,True,train,3
990000543280205171,1350,True,test,-1
990000544260205171,1450,True,train,1
990000545720205171,1450,True,train,3
990000546840205171,1350,True,train,0
990000548920205171,1250,True,test,-1
990000549100205171,1350,True,train,2
990000559250205171,1450,True,test,-1
990000560840205171,1450,True,train,1
990000568750205171,1400,True,train,4
990000569000205171,1450,True,test,-1
990000569070205171,1400,True,train,3
990000577210205171,1500,True,train,3
990000578170205171,1450,True,train,4
990000578830205171,1400,True,test,-1
990000587830205171,1350,True,train,0
990000588970205171,1400,True,train,2
990000589100205171,1400,True,test,-1
990000592890205171,1400,True,test,-1
990000598540205171,1500,True,train,1
990000606470205171,1400,True,train,4
990000612610205171,1450,True,train,1
990000621880205171,1250,True,test,-1
990000626140205171,1350,True,train,3
990000628890205171,1450,True,test,-1
990000629920205171,1450,True,test,-1
990000639170205171,1450,True,train,3
990000649290205171,1350,True,train,2
990000657900205171,1250,True,train,0
990000658650205171,1500,True,train,0
990000659330205171,1450,True,train,2
990000660930205171,1400,True,train,1
990000661230205171,1350,True,train,1
990000661240205171,1300,True,test,-1
990000661270205171,1250,True,train,2
990000672550205171,1500,True,test,-1
990000672670205171,1450,True,train,1
990000673320205171,1400,True,train,4
990000677980205171,1500,True,train,2
990000678070205171,1250,True,train,1
990000678940205171,1500,True,train,3
990000679400205171,1400,True,train,3
990000680130205171,1300,True,train,2
990000681420205171,1450,True,train,0
990000684470205171,1400,True,train,4
990000685220205171,1400,True,test,-1
990000686230205171,1450,True,train,4
990000687070205171,1450,True,test,-1
990000687640205171,1300,True,test,-1
990000687730205171,1450,True,train,2
990000687750205171,1500,True,train,2
990000688240205171,1500,True,train,4
990000688460205171,1450,True,train,4
990000688980205171,1300,True,train,4
990000689050205171,1350,True,train,1
990000689080205171,1450,True,train,0
990000689170205171,1300,True,test,-1
990000689440205171,1300,True,train,0
990000689930205171,1300,True,test,-1
990000689940205171,1300,True,test,-1
990000689990205171,1350,True,test,-1
990000690020205171,1350,True,train,1
990000690330205171,1250,True,train,1
990000690440205171,1200,True,train,0
990000693030205171,1400,True,train,4
990000693650205171,1250,True,train,4
990000693660205171,1250,True,train,3
990000695370205171,1450,True,train,2
990000695600205171,1450,True,train,1
990000695610205171,1450,True,test,-1
990000699560205171,1400,True,train,0
990000699580205171,1350,True,train,2
990000700010205171,1400,True,train,1
990000703450205171,1450,True,train,1
990000703650205171,1450,True,train,0
990000704780205171,1350,True,train,4
990000704830205171,1300,True,train,3
990000704990205171,1400,True,test,-1
990000705000205171,1450,True,train,3
990000706710205171,1450,True,train,2
990000706730205171,1350,True,train,4
990000706800205171,1050,False,train,-1
990000707360205171,1400,True,test,-1
990000707370205171,1350,True,test,-1
990000707390205171,1350,True,test,-1
990000707410205171,1500,True,train,1
990000707420205171,1500,True,train,3
990000707450205171,1350,True,train,1
990000707500205171,1400,True,train,0
990000707530205171,1350,True,test,-1
990000707570205171,1450,True,train,0
990000707580205171,1300,True,train,3
990000707590205171,1400,True,test,-1
990000707650205171,1400,True,train,2
990000707690205171,1350,True,test,-1
990000707700205171,1250,True,train,2
990000707720205171,1400,True,train,1
990000707740205171,1450,True,train,1
990000707760205171,1250,True,train,3
990000707780205171,1350,True,train,3
990000707790205171,1450,True,train,4
990000707960205171,1350,True,train,0
990000707970205171,1250,True,train,1
990000707980205171,1350,True,train,2
990000710530205171,1450,True,test,-1
990000721900205171,1450,True,train,0
990000722140205171,1250,True,train,4
990000722960205171,1250,True,train,0
990000724440205171,1350,True,test,-1
990000724450205171,1250,True,test,-1
990000726040205171,1350,True,train,0
990000726390205171,1450,True,test,-1
990000726540205171,1400,True,train,1
990000726630205171,1500,True,test,-1
990000727170205171,1300,True,test,-1
990000727240205171,1350,True,train,3
990000727650205171,1450,True,test,-1
990000727920205171,1400,True,test,-1
990000727950205171,1250,True,test,-1
990000728000205171,1300,True,test,-1
990000728210205171,1250,True,train,3
990000728260205171,1400,True,test,-1
990000728330205171,1450,True,test,-1
990000728420205171,1450,True,train,3
990000729840205171,1450,True,test,-1
990000732500205171,1450,True,train,0
990000732780205171,1400,True,test,-1
990000734390205171,1500,True,train,3
990000734710205171,1400,True,train,0
990000736370205171,1250,True,train,3
990000736440205171,1400,True,train,2
990000736450205171,1400,True,train,4
990000736470205171,1350,True,train,0
990000736480205171,1350,True,train,1
990000736500205171,1300,True,train,2
990000736520205171,1450,True,train,1
990000736640205171,1500,True,train,1
990000737990205171,1350,True,train,4
990000742770205171,1500,True,train,0
990000747940205171,1350,True,train,1
990000748790205171,1400,True,train,0
990000749470205171,1500,True,train,3
990000751130205171,1450,True,test,-1
990000751360205171,1450,True,test,-1
990000752070205171,1350,True,train,2
990000752150205171,1250,True,train,0
990000752390205171,1300,True,train,1
990000757140205171,1450,True,test,-1
990000766310205171,1450,True,train,2
990000766410205171,1400,True,train,3
990000766560205171,1500,True,train,1
990000766580205171,1250,True,train,1
990000769450205171,1350,True,test,-1
990000770380205171,1050,False,train,-1
990000772850205171,1450,True,train,3
990000773360205171,1500,True,train,3
990000773370205171,1250,True,test,-1
990000773650205171,1400,True,test,-1
990000773740205171,1500,True,test,-1
990000773800205171,1450,True,train,3
990000774850205171,1450,True,train,0
